rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Run,Row,1RM Strict Press,3RM Back Squat,5RM Deadlift
115,01k8992pxfchkvhn3akgze3qwm,Martin,Drevet,Martin Drevet,Male,,,https://ui-avatars.com/api/?name=M+D&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,150KG,190KG
115,01kjarxkt98b1fhtapsrad5s0f,Thomas,Ohouo,Thomas Ohouo,Male,,,https://ui-avatars.com/api/?name=T+O&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,160KG,180KG
115,01khr1bdvhaxwh1b63bh3ehdsn,Yevhenii,KOVALSKYI,Yevhenii KOVALSKYI,Male,,,https://ui-avatars.com/api/?name=Y+K&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,160KG,170KG
115,01k8jhrqts3vx7feszrag8xn57,Paul,Richard,Paul Richard,Male,,,https://ui-avatars.com/api/?name=P+R&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,95KG,140KG,180KG
115,01kp5b3byzmpe2mw13rkm0z8bb,Ricardo,BARREDO DE VALENZUELA,Ricardo BARREDO DE VALENZUELA,Male,,,https://ui-avatars.com/api/?name=R+B+D+V&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,145KG,190KG
115,01kgwx1h0sv6dmkqjeyrxx2bqx,Sofien,Beloufa,Sofien Beloufa,Male,,,https://ui-avatars.com/api/?name=S+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,135KG,200KG
115,01knpnbq875aasb1w1fpm6fb8b,MENU,Geoffrey,MENU Geoffrey,Male,France,CrossFit Epsilon,https://athxgames.com/storage/profile-photos/mZwmehRBgFQcwr7feuQqeX6VDoFj3E2xizwnjwnb.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,155KG,175KG
115,01kaghmc8sb54k5ap7bkbmz052,Meidine,Boumessaoud,Meidine Boumessaoud,Male,France,GYMARENA,https://athxgames.com/storage/profile-photos/Fi0kFolFX6TL7sLuhJhHvb7IKmX1EZEcVABo9dLJ.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,150KG,190KG
115,01m2n6s14h5s0kqfwc5s1pnpff,Pierre,Clinckemaillie,Pierre Clinckemaillie,Male,France,CrossFit RAGNARÖK,https://athxgames.com/storage/profile-photos/WBQoBeArfFhSZZ0FJdKbl70OfbWgNIX5VAvPv0Nz.jpg,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,145KG,190KG
115,01ksz78cbkp2vywy7v28853nhv,Antoine,Belle,Antoine Belle,Male,,,https://ui-avatars.com/api/?name=A+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,170KG,170KG
126,01kpbd6fxb4epwwrna4shj3arr,David,Mourjan,David Mourjan,Male,,,https://ui-avatars.com/api/?name=D+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,85KG,152KG,177KG
127,01knpgmvmsr1tazyj8f0ta1rq8,Yoni,Ivic,Yoni Ivic,Male,France,,https://ui-avatars.com/api/?name=Y+I&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,153KG,180KG
128,01kg096c1p44b8c5ah533smzzc,David,Keller,David Keller,Male,Germany,,https://ui-avatars.com/api/?name=D+K&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,84KG,154KG,174KG
129,01kdbw3x3cy9yn5rk5r6pe1v7x,Rony,JEAN SIMON,Rony JEAN SIMON,Male,,,https://ui-avatars.com/api/?name=R+J+S&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,70KG,160KG,180KG
129,01kcbkek666k642m64w528j580,Nathan,Duhau,Nathan Duhau,Male,,,https://ui-avatars.com/api/?name=N+D&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,75KG,145KG,190KG
129,01kbqwsg28dty6jzxcpz50a3zb,gautier,lacointa,gautier lacointa,Male,,,https://ui-avatars.com/api/?name=g+l&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,90KG,150KG,170KG
129,01kpth9s37jc97wwxzytgat431,Christopher,Pattison,Christopher Pattison,Male,,,https://ui-avatars.com/api/?name=C+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,100KG,130KG,180KG
129,01k33b9ywdyky7mabavypeehdy,Sören,Barth,Sören Barth,Male,,,https://ui-avatars.com/api/?name=S+B&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX,Strength,,,80KG,150KG,180KG
