rank,user_id,first_name,last_name,full_name,gender,nationality,gym_name,profile_photo_url,event,country,year,division,event_category,workout_filter,Run,Row,1RM Strict Press,3RM Back Squat,5RM Deadlift
1,01hnp2w5kbzyr97z88c1tem3sa,Lizzie,White,Lizzie White,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.161KM,3.095KM,,,
2,01m16dn34n5wh1m15rytb9pk4e,Josephine,Cornut danjou,Josephine Cornut danjou,Female,,,https://ui-avatars.com/api/?name=J+C+d&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,3.243KM,,,
3,01kpz0jjwzs6gzpbq231jcjg1e,Laura,Horvath,Laura Horvath,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,3KM,2.211KM,,,
4,01h2typnd50yayaqzh0n140d99,Alice,Hardy,Alice Hardy,Female,United Kingdom,Hardys health and fitness,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.547KM,2.637KM,,,
5,01k9j863sgkvgcyqf6a7tmp6bf,Valentina,Fitz,Valentina Fitz,Female,,,https://ui-avatars.com/api/?name=V+F&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.63KM,3.373KM,,,
6,01m07zej2ep65nhxz6f3e2pa12,Camille,Julien,Camille Julien,Female,France,Crossfit Genas,https://ui-avatars.com/api/?name=C+J&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.646KM,2.343KM,,,
7,01kn24f1sretwsthyj0vbchke2,Loréna,Madaschi,Loréna Madaschi,Female,,,https://ui-avatars.com/api/?name=L+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.956KM,,,
8,01kka27e2vbyetx8xg1bvmtnp0,Stella,Cantie,Stella Cantie,Female,France,,https://ui-avatars.com/api/?name=S+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.939KM,,,
9,01kn6yrvp5a8s7snsnj4k74x4x,edwige,alfred,edwige alfred,Female,,,https://ui-avatars.com/api/?name=e+a&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.63KM,2.292KM,,,
10,01kb81v8z2xkw5z9xk003xrank,Lea,Cosson,Lea Cosson,Female,,,https://ui-avatars.com/api/?name=L+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.917KM,,,
11,01kyab3t86hfa1thr37vfr71pg,Manon,Poulignier,Manon Poulignier,Female,,,https://ui-avatars.com/api/?name=M+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.834KM,,,
12,01kd6fparckra738pqm0z7mgnw,Elodie,Cadieu,Elodie Cadieu,Female,,,https://ui-avatars.com/api/?name=E+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.827KM,,,
13,01jazm43x77ep7snrasfwp87x4,Clelia,Edouard,Clelia Edouard,Female,,,https://ui-avatars.com/api/?name=C+E&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.819KM,,,
14,01khh5x7qp3jxh4kbt4mv83dqw,Ellen,Lemoy,Ellen Lemoy,Female,,,https://ui-avatars.com/api/?name=E+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.474KM,2.314KM,,,
15,01ks2w2jmppwjwgbr34fsx46tw,Lauriane,Nocella,Lauriane Nocella,Female,,,https://ui-avatars.com/api/?name=L+N&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.128KM,2.525KM,,,
16,01knj46m0wc9vhswdfdhyt9v0k,Marie,Morgen,Marie Morgen,Female,,,https://ui-avatars.com/api/?name=M+M&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.644KM,,,
17,01jernw8c70bx9xyd9byzpzh0f,Hannah,Brown,Hannah Brown,Female,,,https://ui-avatars.com/api/?name=H+B&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.624KM,,,
17,01jk6nx51078va2a67cf6th3vk,Mhairi,Clelland,Mhairi Clelland,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.624KM,,,
19,01kn6xwzdp6kkh5chpmnybsjc7,Antonella,Caruso,Antonella Caruso,Female,,,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.785KM,2.796KM,,,
20,01hsv7cq56xwz4fhhe3r4437ad,Katie,Hosking,Katie Hosking,Female,,,https://ui-avatars.com/api/?name=K+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.397KM,2.175KM,,,
21,01kdnxggbk91s7bnm9xy99sg07,Véronique,Cenciarini,Véronique Cenciarini,Female,,,https://ui-avatars.com/api/?name=V+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.525KM,,,
22,01k0rjq742bvk95456xxvrdjtv,Emma,Skinner,Emma Skinner,Female,,,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.488KM,,,
23,01kgf1r8ca6rr2r8d5t91vwb79,Diana,Levytska,Diana Levytska,Female,Portugal,,https://ui-avatars.com/api/?name=D+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.75KM,2.652KM,,,
24,01jc0k0ppfj79f3z3br700bnda,Juliette,Girin,Juliette Girin,Female,France,,https://ui-avatars.com/api/?name=J+G&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.5KM,2.791KM,,,
25,01kprbjdds6md1gvr2rg00zwg0,Fiona,Leroux Debry,Fiona Leroux Debry,Female,,,https://ui-avatars.com/api/?name=F+L+D&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.286KM,,,
26,01m0sndvj9y8w6nfmtxwa0vee3,JOANNA,BEDUSCHI,JOANNA BEDUSCHI,Female,,,https://ui-avatars.com/api/?name=J+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.25KM,2.027KM,,,
27,01kjb6b85w36bkfa3j281qgqc5,Marta,Labadia sanchez,Marta Labadia sanchez,Female,,,https://ui-avatars.com/api/?name=M+L+s&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.272KM,,,
28,01ks0vawcmsgbxhf1k4jy5wn2x,Morgane,Charmasson,Morgane Charmasson,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.75KM,2.508KM,,,
29,01khp4z3dv8xkvrm4zqgawydtg,Nathalie,ROCHE,Nathalie ROCHE,Female,,,https://ui-avatars.com/api/?name=N+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.904KM,2.347KM,,,
30,01kn6zyw2p5tzzvs7xy2skzp1g,Liliana,Fernandes,Liliana Fernandes,Female,,,https://ui-avatars.com/api/?name=L+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.247KM,,,
31,01hpw9ymw1r03hyaaejsfdqcms,Lizzie,Hall,Lizzie Hall,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.215KM,,,
32,01kn00asxz2q0rrg2qbz8jt8r2,Marion,Chabenat,Marion Chabenat,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.213KM,,,
33,01k7f5r47g14a8my28h9nj3jev,Estelle,Ladeiro,Estelle Ladeiro,Female,,,https://ui-avatars.com/api/?name=E+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.175KM,,,
34,01kjfhhgnndg2vjevvqw8651xn,Regolta,Marie,Regolta Marie,Female,,,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.697KM,2.419KM,,,
35,01kmt12cescyx39t6gx08cdsxd,Laetitia,ANDRÉ,Laetitia ANDRÉ,Female,,,https://ui-avatars.com/api/?name=L+A&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.101KM,,,
36,01k71r934w7ttsh61ghfvjt6tv,Julie,Rose,Julie Rose,Female,France,Flag,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.083KM,,,
37,01kd41gqmspvrtrhfecrhwey3t,Rita,Faustino,Rita Faustino,Female,Portugal,AVYNT,https://ui-avatars.com/api/?name=R+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,2.075KM,,,
38,01kmyxzjagexarkn44jvyfns52,Sabrina,Daulaus,Sabrina Daulaus,Female,France,CROSSFIT NAYA,https://ui-avatars.com/api/?name=S+D&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.619KM,2.32KM,,,
39,01k8rqgfhceq1exk1n407bfc3w,Garrigou,Jessie,Garrigou Jessie,Female,,,https://ui-avatars.com/api/?name=G+J&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,1.902KM,2.036KM,,,
40,01kq5m9j3h5792vj97ff9sjdy8,Massy,Arias,Massy Arias,Female,,,https://ui-avatars.com/api/?name=M+A&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2.082KM,1.807KM,,,
41,01kbvxdtetgdev2ayynxg4258b,Sarah,Quin,Sarah Quin,Female,,,https://ui-avatars.com/api/?name=S+Q&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,1.876KM,,,
42,01kapb7x33ndtyh4ttbjf52pr5,Andrea,Pedrett,Andrea Pedrett,Female,Switzerland,NINNIK Crossfit,https://ui-avatars.com/api/?name=A+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,1.787KM,,,
43,01kfjywp94yq2sy75191czga6g,Claire,Robert,Claire Robert,Female,,Clairette,https://ui-avatars.com/api/?name=C+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,1.444KM,,,
44,01kbk0zekg126p06qc70ff8pxb,Claire,Netter,Claire Netter,Female,,,https://ui-avatars.com/api/?name=C+N&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Endurance,2KM,1.313KM,,,
1,01jk6nx51078va2a67cf6th3vk,Mhairi,Clelland,Mhairi Clelland,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,60KG,120KG,170KG
2,01kpz0jjwzs6gzpbq231jcjg1e,Laura,Horvath,Laura Horvath,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,58KG,130KG,150KG
3,01hnp2w5kbzyr97z88c1tem3sa,Lizzie,White,Lizzie White,Female,,,https://ui-avatars.com/api/?name=L+W&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,60KG,117KG,150KG
4,01hsv7cq56xwz4fhhe3r4437ad,Katie,Hosking,Katie Hosking,Female,,,https://ui-avatars.com/api/?name=K+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,55KG,120KG,141KG
5,01jernw8c70bx9xyd9byzpzh0f,Hannah,Brown,Hannah Brown,Female,,,https://ui-avatars.com/api/?name=H+B&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,54KG,116KG,135KG
6,01hpw9ymw1r03hyaaejsfdqcms,Lizzie,Hall,Lizzie Hall,Female,,,https://ui-avatars.com/api/?name=L+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,53KG,117KG,125KG
7,01kyab3t86hfa1thr37vfr71pg,Manon,Poulignier,Manon Poulignier,Female,,,https://ui-avatars.com/api/?name=M+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,55KG,93KG,134KG
8,01k8rqgfhceq1exk1n407bfc3w,Garrigou,Jessie,Garrigou Jessie,Female,,,https://ui-avatars.com/api/?name=G+J&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,43KG,106KG,130KG
9,01kq5m9j3h5792vj97ff9sjdy8,Massy,Arias,Massy Arias,Female,,,https://ui-avatars.com/api/?name=M+A&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,50KG,102KG,122KG
10,01k0rjq742bvk95456xxvrdjtv,Emma,Skinner,Emma Skinner,Female,,,https://ui-avatars.com/api/?name=E+S&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,110KG,115KG
11,01kjb6b85w36bkfa3j281qgqc5,Marta,Labadia sanchez,Marta Labadia sanchez,Female,,,https://ui-avatars.com/api/?name=M+L+s&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,48KG,105KG,115KG
11,01kb81v8z2xkw5z9xk003xrank,Lea,Cosson,Lea Cosson,Female,,,https://ui-avatars.com/api/?name=L+C&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,43KG,100KG,125KG
11,01knj46m0wc9vhswdfdhyt9v0k,Marie,Morgen,Marie Morgen,Female,,,https://ui-avatars.com/api/?name=M+M&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,48KG,100KG,120KG
14,01jazm43x77ep7snrasfwp87x4,Clelia,Edouard,Clelia Edouard,Female,,,https://ui-avatars.com/api/?name=C+E&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,37KG,95KG,132KG
15,01kgf1r8ca6rr2r8d5t91vwb79,Diana,Levytska,Diana Levytska,Female,Portugal,,https://ui-avatars.com/api/?name=D+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,50KG,95KG,115KG
16,01khh5x7qp3jxh4kbt4mv83dqw,Ellen,Lemoy,Ellen Lemoy,Female,,,https://ui-avatars.com/api/?name=E+L&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,92KG,121KG
17,01h2typnd50yayaqzh0n140d99,Alice,Hardy,Alice Hardy,Female,United Kingdom,Hardys health and fitness,https://ui-avatars.com/api/?name=A+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,102KG,110KG
18,01kn6zyw2p5tzzvs7xy2skzp1g,Liliana,Fernandes,Liliana Fernandes,Female,,,https://ui-avatars.com/api/?name=L+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,43KG,93KG,120KG
19,01kd6fparckra738pqm0z7mgnw,Elodie,Cadieu,Elodie Cadieu,Female,,,https://ui-avatars.com/api/?name=E+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,105KG,105KG
20,01kd41gqmspvrtrhfecrhwey3t,Rita,Faustino,Rita Faustino,Female,Portugal,AVYNT,https://ui-avatars.com/api/?name=R+F&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,40KG,94KG,111KG
20,01m07zej2ep65nhxz6f3e2pa12,Camille,Julien,Camille Julien,Female,France,Crossfit Genas,https://ui-avatars.com/api/?name=C+J&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,95KG,105KG
22,01k71r934w7ttsh61ghfvjt6tv,Julie,Rose,Julie Rose,Female,France,Flag,https://ui-avatars.com/api/?name=J+R&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,37KG,95KG,110KG
23,01kka27e2vbyetx8xg1bvmtnp0,Stella,Cantie,Stella Cantie,Female,France,,https://ui-avatars.com/api/?name=S+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,41KG,90KG,105KG
24,01kbvxdtetgdev2ayynxg4258b,Sarah,Quin,Sarah Quin,Female,,,https://ui-avatars.com/api/?name=S+Q&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,40KG,90KG,105KG
25,01m16dn34n5wh1m15rytb9pk4e,Josephine,Cornut danjou,Josephine Cornut danjou,Female,,,https://ui-avatars.com/api/?name=J+C+d&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,42KG,75KG,115KG
26,01kn6xwzdp6kkh5chpmnybsjc7,Antonella,Caruso,Antonella Caruso,Female,,,https://ui-avatars.com/api/?name=A+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,50KG,80KG,100KG
27,01k9j863sgkvgcyqf6a7tmp6bf,Valentina,Fitz,Valentina Fitz,Female,,,https://ui-avatars.com/api/?name=V+F&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,41KG,78KG,110KG
28,01jc0k0ppfj79f3z3br700bnda,Juliette,Girin,Juliette Girin,Female,France,,https://ui-avatars.com/api/?name=J+G&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,43KG,80KG,105KG
28,01kjfhhgnndg2vjevvqw8651xn,Regolta,Marie,Regolta Marie,Female,,,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,43KG,80KG,105KG
30,01k7f5r47g14a8my28h9nj3jev,Estelle,Ladeiro,Estelle Ladeiro,Female,,,https://ui-avatars.com/api/?name=E+L&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,45KG,80KG,100KG
31,01kn00asxz2q0rrg2qbz8jt8r2,Marion,Chabenat,Marion Chabenat,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,38KG,84KG,100KG
32,01ks0vawcmsgbxhf1k4jy5wn2x,Morgane,Charmasson,Morgane Charmasson,Female,,,https://ui-avatars.com/api/?name=M+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,35KG,80KG,105KG
33,01kapb7x33ndtyh4ttbjf52pr5,Andrea,Pedrett,Andrea Pedrett,Female,Switzerland,NINNIK Crossfit,https://ui-avatars.com/api/?name=A+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,39KG,82KG,97KG
34,01kprbjdds6md1gvr2rg00zwg0,Fiona,Leroux Debry,Fiona Leroux Debry,Female,,,https://ui-avatars.com/api/?name=F+L+D&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,42KG,75KG,100KG
35,01m0sndvj9y8w6nfmtxwa0vee3,JOANNA,BEDUSCHI,JOANNA BEDUSCHI,Female,,,https://ui-avatars.com/api/?name=J+B&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,44KG,91KG,81KG
36,01kfjywp94yq2sy75191czga6g,Claire,Robert,Claire Robert,Female,,Clairette,https://ui-avatars.com/api/?name=C+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,40KG,75KG,100KG
37,01kmyxzjagexarkn44jvyfns52,Sabrina,Daulaus,Sabrina Daulaus,Female,France,CROSSFIT NAYA,https://ui-avatars.com/api/?name=S+D&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,18KG,75KG,115KG
38,01khp4z3dv8xkvrm4zqgawydtg,Nathalie,ROCHE,Nathalie ROCHE,Female,,,https://ui-avatars.com/api/?name=N+R&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,41KG,65KG,100KG
39,01kmt12cescyx39t6gx08cdsxd,Laetitia,ANDRÉ,Laetitia ANDRÉ,Female,,,https://ui-avatars.com/api/?name=L+A&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,40KG,70KG,95KG
40,01kdnxggbk91s7bnm9xy99sg07,Véronique,Cenciarini,Véronique Cenciarini,Female,,,https://ui-avatars.com/api/?name=V+C&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,41KG,65KG,95KG
41,01k6gechx84ka2ka2xtfw9j9td,Lucinda,Prior,Lucinda Prior,Female,,,https://ui-avatars.com/api/?name=L+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,35KG,73KG,87KG
41,01kn6yrvp5a8s7snsnj4k74x4x,edwige,alfred,edwige alfred,Female,,,https://ui-avatars.com/api/?name=e+a&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,40KG,60KG,95KG
43,01kn24f1sretwsthyj0vbchke2,Loréna,Madaschi,Loréna Madaschi,Female,,,https://ui-avatars.com/api/?name=L+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,34KG,59KG,84KG
44,01kbk0zekg126p06qc70ff8pxb,Claire,Netter,Claire Netter,Female,,,https://ui-avatars.com/api/?name=C+N&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,31KG,54KG,75KG
44,01ks2w2jmppwjwgbr34fsx46tw,Lauriane,Nocella,Lauriane Nocella,Female,,,https://ui-avatars.com/api/?name=L+N&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,33KG,52KG,75KG
46,01kef12anwt1n44pmef9az84hv,Raffaella,Mandriota,Raffaella Mandriota,Female,Italy,Crossfit Louvre,https://ui-avatars.com/api/?name=R+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,0KG,0KG,0KG
46,01k9kzd9gbh74haa4awt1wqn37,Manon,Péquillat,Manon Péquillat,Female,,,https://ui-avatars.com/api/?name=M+P&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Female,ATHX Pro,Strength,,,0KG,0KG,0KG
1,01k82c0empve0sdney1x4z7mnd,Noor,Mann,Noor Mann,Male,,,https://ui-avatars.com/api/?name=N+M&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,74KG,165KG,221KG
2,01khxxre6nzfhe82jjkxh42f6f,Norbert,Pepel,Norbert Pepel,Male,,,https://ui-avatars.com/api/?name=N+P&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,90KG,150KG,200KG
3,01kg4fz3fx7cwy2w0wbzdjheaz,michael,celanie,michael celanie,Male,France,,https://ui-avatars.com/api/?name=m+c&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,77KG,170KG,180KG
4,01ka0wzad77246aendh4p7a1fg,Chakib,Aziz,Chakib Aziz,Male,France,Fitness park Cormontreuil,https://athxgames.com/storage/profile-photos/xS1ZJvUqUECA0A9ZDbWDfYeeOipDK8AWWkOILild.jpg,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,67KG,140KG,200KG
5,01kmddbatptan2nmx32xzqvyjh,Adrian,ALLEGRE,Adrian ALLEGRE,Male,,,https://ui-avatars.com/api/?name=A+A&color=FFFFFF&background=000000,ATHX MARSEILLE 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,65KG,150KG,180KG
6,01khqec08bnrcep9s8mpm4z9mj,Hugo,Huard,Hugo Huard,Male,,,https://ui-avatars.com/api/?name=H+H&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,88KG,135KG,170KG
7,01kg823z4epcvrpyyr0581hwk3,Antoine,vaneroux,Antoine vaneroux,Male,,,https://ui-avatars.com/api/?name=A+v&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,85KG,130KG,170KG
8,01kph6bfqzh2nsvhg22ya950c6,Mory,Kante,Mory Kante,Male,Ivory Coast,,https://ui-avatars.com/api/?name=M+K&color=FFFFFF&background=000000,ATHX PARIS 2026,France 🇫🇷,2026,Male,ATHX Lite,Strength,,,80KG,120KG,170KG
