rank,team_name,event,country,year,division,event_category,workout_filter,Strength,Endurance,MetCon X,1RM Strict Press,3RM Back Squat,5RM Deadlift,Run,Row,Points
16,Michael Settle & Owain Fraser-Williams,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,15 (470KG),18 (18.462KM),10 (13:48),,,,,,43
17,Aaron OBrien & Erlandas Sablinskas,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,18 (430KG),13 (18.589KM),14 (14:20),,,,,,45
17,Jamie Newington & Reece Jones,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,14 (471KG),11 (18.752KM),20 (15:38),,,,,,45
17,Lennart Palausch & Sören Findeisen,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,11 (491KG),19 (18.397KM),15 (14:43),,,,,,45
20,Tony Murphy & Connor Martin,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,16 (445KG),15 (18.525KM),21 (15:48),,,,,,52
21,Rocky O'Donovan & Conor Healy,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX Pro,Overall,21 (395KG),14 (18.543KM),19 (15:08),,,,,,54
1,Natalie Hutchison & Jessica Logan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,2 (230KG),4 (16.068KM),4 (13:59),,,,,,10
2,Rebecca McAlinden & Jane Morrison,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,8 (193KG),3 (16.097KM),2 (13:50),,,,,,13
3,Mary Power & Anna Wallace,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,5 (215KG),6 (15.677KM),3 (13:53),,,,,,14
4,Georgia Beasley & Julia Baxter,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,6 (204KG),5 (16.063KM),5 (14:38),,,,,,16
5,Isa Braun & Vera Pöhl,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,18 (159KG),1 (17.901KM),1 (13:20),,,,,,20
6,Lisa Kerr & Sophie Marsh,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,4 (220KG),9 (15.371KM),8 (15:52),,,,,,21
6,Rebecca Starnes & Emma O Flynn,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,7 (194KG),8 (15.65KM),6 (15:03),,,,,,21
8,Emily Smith & Sarah Mee,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,2 (230KG),12 (15.24KM),12 (16:17),,,,,,26
9,Lara Squires & Cherie Sykes,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,13 (180KG),7 (15.655KM),11 (16:13),,,,,,31
9,Victoria Crisp & Hazel Hartley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,11 (187KG),10 (15.291KM),10 (16:02),,,,,,31
11,Arielle Harvey & Eloise Harvey,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,9 (189KG),18 (14.624KM),7 (15:27),,,,,,34
12,Leah Hopton & Georgia Gray,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,20 (155KG),2 (17.074KM),16 (17:51),,,,,,38
13,Jennifer Wickwar & Darcie Chambers,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,15 (173KG),11 (15.284KM),14 (16:37),,,,,,40
14,Yvonne Weidner & Carrie Howe,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,14 (174KG),19 (14.54KM),9 (15:56),,,,,,42
15,Shaunacy Kennedy & Anna Rogan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,1 (277KG),22 (13.429KM),22 (20:12),,,,,,45
16,Jane Rundell & Amber McFarlane,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,10 (188KG),16 (14.844KM),19 (19:18),,,,,,45
17,Sophia Herne & Amy Duckworth,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,12 (182KG),17 (14.692KM),18 (19:17),,,,,,47
18,Angela Gilchrist & Kate Winstanley,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,21 (138KG),14 (15.035KM),13 (16:24),,,,,,48
19,Claire Davison & Lucinda Moore,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,17 (160KG),15 (14.932KM),17 (18:03),,,,,,49
20,Amy Steggles & Heidi Smith,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,19 (156KG),21 (13.915KM),15 (17:02),,,,,,55
21,Deborah Hopkins & Louise Jenner,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,16 (162KG),20 (14.34KM),20 (19:40),,,,,,56
21,Joy Ainsworth & Emma Fellows,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Female,ATHX Lite,Overall,22 (135KG),13 (15.071KM),21 (20:03),,,,,,56
1,Taryn Skinner & Alfie Burton,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,10:30,,,,,,1
2,James Vernall & Mike Catris,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,10:37,,,,,,2
3,David Kelly & Simon Mooi,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,11:22,,,,,,3
4,Max Craven & Luke Rogers,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,11:36,,,,,,4
5,Matthew Wells & Nigel Biddlecombe,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,11:42,,,,,,5
6,Andrew Brown & Jake Maunders,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,11:51,,,,,,6
7,Joshua Banham & Liam Saunders,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,11:52,,,,,,7
8,David Mcfarland & Mike McFarland,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:08,,,,,,8
9,ADAM FOWLER & Scott Castell,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:12,,,,,,9
10,James Burton & Jobert Fermilan,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:13,,,,,,10
11,Josh Singleton & James Shires,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:18,,,,,,11
12,Barry Coombs & Rob Haselgrove,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:21,,,,,,12
13,Stefan Morrow & Elgan Vittle,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:24,,,,,,13
14,Martin Shaw & Will Shaw,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:29,,,,,,14
15,Liam Farmer & Michael Johnson,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:34,,,,,,15
16,Sean Parkinson & Nic Chaviaris,ATHX FINALS 2025,United Kingdom 🇬🇧,2025,Male,ATHX,MetCon X,,,12:35,,,,,,16
